Donor	Acceptor	Fluorescence	Luminescence	BRETratio
V2RRLuc	b2AdRVenus	0.3973044	2.075261	0.01254502
V2RRLuc	b2AdRVenus	0.4254559	2.085528	0.01367958
V2RRLuc	b2AdRVenus	0.6067056	2.105217	0.02304721
V2RRLuc	b2AdRVenus	0.6164062	2.127285	0.0196519
V2RRLuc	b2AdRVenus	0.6217417	2.270013	0.01758892
V2RRLuc	b2AdRVenus	0.3425422	2.392602	0.009676264
V2RRLuc	b2AdRVenus	0.3017785	2.441097	0.008049499
V2RRLuc	b2AdRVenus	0.1400304	2.454363	0.000936672
V2RRLuc	b2AdRVenus	0.7241031	2.493545	0.01545481
V2RRLuc	b2AdRVenus	0.7564383	2.5469	0.01608944
V2RRLuc	b2AdRVenus	0.4149611	2.636194	0.007866871
V2RRLuc	b2AdRVenus	0.5775345	2.659164	0.004484415
V2RRLuc	b2AdRVenus	0.3617195	2.708916	0.00661631
V2RRLuc	b2AdRVenus	0.1892188	2.713954	0.002243868
V2RRLuc	b2AdRVenus	1.02172	2.836342	0.01190611
V2RRLuc	b2AdRVenus	0.4831215	2.855948	0.004495338
V2RRLuc	b2AdRVenus	1.307795	2.89285	0.0172759
V2RRLuc	AT1RVenus	1.296192255	0.553537024	0.054427117
V2RRLuc	AT1RVenus	0.696695918	0.568021471	0.043010628
V2RRLuc	AT1RVenus	1.18661596	0.581751329	0.055124335
V2RRLuc	AT1RVenus	0.836915714	0.70312423	0.046841709
V2RRLuc	AT1RVenus	0.974950875	0.718498313	0.059046195
V2RRLuc	AT1RVenus	1.237533385	0.721308979	0.050804061
V2RRLuc	AT1RVenus	0.96556575	0.74529302	0.046431561
V2RRLuc	AT1RVenus	1.218968127	0.753471109	0.047865958
V2RRLuc	AT1RVenus	1.218144496	0.757643734	0.043137124
V2RRLuc	AT1RVenus	1.204465309	0.761818885	0.054771755
V2RRLuc	AT1RVenus	0.684819281	0.798518747	0.028915352
V2RRLuc	AT1RVenus	1.01314523	0.843076971	0.046156036
V2RRLuc	AT1RVenus	0.828440233	0.856873361	0.045056449
V2RRLuc	AT1RVenus	1.407804343	0.881412815	0.052289472
V2RRLuc	AT1RVenus	1.039201978	0.916371341	0.046559099
